timestamp,fila_tamanho,detectados_total,movidos_total,ignorados_total,detectados_por_intervalo,movidos_por_intervalo,ignorados_por_intervalo
2026-03-03T16:26:39.604176,0,0,0,0,0,0,0
2026-03-03T16:26:41.948797,0,0,0,0,0,0,0
2026-03-03T16:26:44.337121,0,0,0,0,0,0,0
2026-03-03T16:26:46.682601,0,0,0,0,0,0,0
2026-03-03T16:26:48.844558,0,0,0,0,0,0,0
2026-03-03T16:26:51.007601,0,0,0,0,0,0,0
2026-03-03T16:26:53.208491,0,0,0,0,0,0,0
2026-03-03T16:26:55.461111,0,0,0,0,0,0,0
2026-03-03T16:26:57.711158,0,0,0,0,0,0,0
2026-03-03T16:26:59.973572,0,0,0,0,0,0,0
2026-03-03T16:27:02.196017,0,0,0,0,0,0,0
2026-03-03T16:27:04.446020,0,0,0,0,0,0,0
2026-03-03T16:27:06.683692,0,0,0,0,0,0,0
2026-03-03T16:27:15.274685,0,0,0,0,0,0,0
2026-03-03T16:27:17.559088,0,0,0,0,0,0,0
2026-03-03T16:27:19.902274,0,0,0,0,0,0,0
2026-03-03T16:27:22.199213,0,0,0,0,0,0,0
2026-03-03T16:27:24.449334,0,0,0,0,0,0,0
2026-03-03T16:27:26.676974,0,0,0,0,0,0,0
2026-03-03T16:27:28.902640,0,0,0,0,0,0,0
2026-03-03T16:27:31.192503,0,0,0,0,0,0,0
2026-03-03T16:27:33.433984,0,0,0,0,0,0,0
2026-03-03T16:27:35.684253,0,0,0,0,0,0,0
2026-03-03T16:27:37.913182,0,0,0,0,0,0,0
2026-03-03T16:27:39.918364,0,0,0,0,0,0,0
2026-03-03T16:27:42.194511,0,0,0,0,0,0,0
2026-03-03T16:27:44.518969,0,0,0,0,0,0,0
2026-03-03T16:27:46.770373,0,0,0,0,0,0,0
2026-03-03T16:27:49.057462,0,0,0,0,0,0,0
2026-03-03T16:27:51.248751,0,0,0,0,0,0,0
2026-03-03T16:27:53.260500,0,0,0,0,0,0,0
2026-03-03T16:27:55.463462,0,0,0,0,0,0,0
2026-03-03T16:27:57.563839,0,0,0,0,0,0,0
2026-03-03T16:27:59.842929,0,0,0,0,0,0,0
2026-03-03T16:28:01.936920,0,0,0,0,0,0,0
2026-03-03T16:28:04.184431,0,0,0,0,0,0,0
2026-03-03T16:28:06.192314,0,0,0,0,0,0,0
2026-03-03T16:28:08.211979,0,0,0,0,0,0,0
2026-03-03T16:28:10.430159,0,0,0,0,0,0,0
2026-03-03T16:28:12.791137,0,0,0,0,0,0,0
2026-03-03T16:28:14.968525,0,0,0,0,0,0,0
2026-03-03T16:28:17.149317,0,0,0,0,0,0,0
2026-03-03T16:28:19.310177,0,0,0,0,0,0,0
2026-03-03T16:28:21.518571,0,0,0,0,0,0,0
2026-03-03T16:28:23.712546,0,0,0,0,0,0,0
2026-03-03T16:28:25.938827,0,0,0,0,0,0,0
2026-03-03T16:28:28.079145,0,0,0,0,0,0,0
2026-03-03T16:28:30.344630,0,0,0,0,0,0,0
2026-03-03T16:28:32.578507,0,0,0,0,0,0,0
2026-03-03T16:28:34.746625,0,0,0,0,0,0,0
2026-03-03T16:28:37.001719,0,0,0,0,0,0,0
2026-03-03T16:28:39.293364,0,0,0,0,0,0,0
2026-03-03T16:28:41.512752,0,0,0,0,0,0,0
2026-03-03T16:28:43.818398,0,0,0,0,0,0,0
2026-03-03T16:28:46.038270,0,0,0,0,0,0,0
2026-03-03T16:28:48.189537,0,0,0,0,0,0,0
2026-03-03T16:28:50.383005,0,0,0,0,0,0,0
2026-03-03T16:28:52.543113,0,0,0,0,0,0,0
2026-03-03T16:28:54.893176,0,0,0,0,0,0,0
2026-03-03T16:28:57.112027,0,0,0,0,0,0,0
2026-03-03T16:28:59.387128,0,0,0,0,0,0,0
2026-03-03T16:29:01.675237,0,0,0,0,0,0,0
2026-03-03T16:29:03.940504,0,0,0,0,0,0,0
2026-03-03T16:29:06.226143,0,0,0,0,0,0,0
2026-03-03T16:29:08.409296,0,0,0,0,0,0,0
2026-03-03T16:29:10.633959,0,0,0,0,0,0,0
2026-03-03T16:29:12.878164,0,0,0,0,0,0,0
2026-03-03T16:29:15.112653,0,0,0,0,0,0,0
2026-03-03T16:29:17.456773,0,0,0,0,0,0,0
2026-03-03T16:29:19.769035,0,0,0,0,0,0,0
2026-03-03T16:29:22.019170,0,0,0,0,0,0,0
2026-03-03T16:29:24.269408,0,0,0,0,0,0,0
2026-03-03T16:29:26.484789,0,0,0,0,0,0,0
2026-03-03T16:29:28.617373,0,0,0,0,0,0,0
2026-03-03T16:29:30.813037,0,0,0,0,0,0,0
2026-03-03T16:29:33.075782,0,0,0,0,0,0,0
2026-03-03T16:29:35.282445,0,0,0,0,0,0,0
2026-03-03T16:29:37.614167,0,0,0,0,0,0,0
2026-03-03T16:29:39.957835,0,0,0,0,0,0,0
2026-03-03T16:29:42.273506,0,0,0,0,0,0,0
2026-03-03T16:29:44.619508,0,0,0,0,0,0,0
2026-03-03T16:29:46.923940,0,0,0,0,0,0,0
2026-03-03T16:29:49.252209,0,0,0,0,0,0,0
2026-03-03T16:29:51.623037,0,0,0,0,0,0,0
2026-03-03T16:29:53.898788,0,0,0,0,0,0,0
2026-03-03T16:29:56.128014,0,0,0,0,0,0,0
2026-03-03T16:29:58.347547,0,0,0,0,0,0,0
2026-03-03T16:30:00.653515,0,0,0,0,0,0,0
2026-03-03T16:30:02.941486,0,0,0,0,0,0,0
2026-03-03T16:30:04.983350,0,0,0,0,0,0,0
2026-03-03T16:30:07.269745,0,0,0,0,0,0,0
2026-03-03T16:30:09.551243,0,0,0,0,0,0,0
2026-03-03T16:30:11.828406,0,0,0,0,0,0,0
2026-03-03T16:30:14.114281,0,0,0,0,0,0,0
2026-03-03T16:30:24.539489,0,0,0,0,0,0,0
2026-03-03T16:30:29.125386,0,0,0,0,0,0,0
2026-03-03T16:30:31.698915,0,0,0,0,0,0,0
2026-03-03T16:30:33.835758,0,0,0,0,0,0,0
2026-03-03T16:30:36.067494,0,0,0,0,0,0,0
2026-03-03T16:30:38.255330,0,0,0,0,0,0,0
2026-03-03T16:30:42.865029,0,0,0,0,0,0,0
2026-03-03T16:30:45.152538,0,0,0,0,0,0,0
2026-03-03T16:30:47.474892,0,0,0,0,0,0,0
2026-03-03T16:30:49.819107,0,0,0,0,0,0,0
2026-03-03T16:30:52.101093,0,0,0,0,0,0,0
2026-03-03T16:30:54.316623,0,0,0,0,0,0,0
2026-03-03T16:30:56.632778,0,0,0,0,0,0,0
2026-03-03T16:30:59.009849,0,0,0,0,0,0,0
2026-03-03T16:31:01.382669,0,0,0,0,0,0,0
2026-03-03T16:31:03.711813,0,0,0,0,0,0,0
2026-03-03T16:31:05.954837,0,0,0,0,0,0,0
2026-03-03T16:31:08.321165,0,0,0,0,0,0,0
2026-03-03T16:31:10.633880,0,0,0,0,0,0,0
2026-03-03T16:31:12.938186,0,0,0,0,0,0,0
2026-03-03T16:31:15.236631,0,0,0,0,0,0,0
2026-03-03T16:31:17.534553,0,0,0,0,0,0,0
2026-03-03T16:31:19.812630,0,0,0,0,0,0,0
2026-03-03T16:31:22.150166,0,0,0,0,0,0,0
2026-03-03T16:31:24.431309,0,0,0,0,0,0,0
2026-03-03T16:31:26.707187,0,0,0,0,0,0,0
2026-03-03T16:31:28.990295,0,0,0,0,0,0,0
2026-03-03T16:31:31.306975,0,0,0,0,0,0,0
2026-03-03T16:31:33.668173,0,0,0,0,0,0,0
2026-03-03T16:31:35.980834,0,0,0,0,0,0,0
2026-03-03T16:31:38.197594,0,0,0,0,0,0,0
2026-03-03T16:31:40.492332,0,0,0,0,0,0,0
2026-03-03T16:31:42.736528,0,0,0,0,0,0,0
2026-03-03T16:31:45.097400,0,0,0,0,0,0,0
2026-03-03T16:31:47.314002,0,0,0,0,0,0,0
2026-03-03T16:31:49.513737,0,0,0,0,0,0,0
2026-03-03T16:31:51.832237,0,0,0,0,0,0,0
2026-03-03T16:31:54.139671,0,0,0,0,0,0,0
2026-03-03T16:31:56.452127,0,0,0,0,0,0,0
2026-03-03T16:31:58.687269,0,0,0,0,0,0,0
2026-03-03T16:32:00.907425,0,0,0,0,0,0,0
2026-03-03T16:32:03.143109,0,0,0,0,0,0,0
2026-03-03T16:32:05.377813,0,0,0,0,0,0,0
2026-03-03T16:32:07.597955,0,0,0,0,0,0,0
2026-03-03T16:32:09.817559,0,0,0,0,0,0,0
2026-03-03T16:32:12.052995,0,0,0,0,0,0,0
2026-03-03T16:32:14.272917,0,0,0,0,0,0,0
2026-03-03T16:35:20.796583,0,0,0,0,0,0,0
2026-03-03T16:35:23.064249,0,0,0,0,0,0,0
2026-03-03T16:35:25.319325,0,0,0,0,0,0,0
